---
source: "GaN Data source: C is from heat capacity of 4H-SiC, k was"
author: "Jia"
---

T (K)	rho_cp (J/m³K)	Sz (W/mK)	Sr (W/mK)
3.8400000e+02	2.7154076e+06	2.5781250e+02	3.0024844e+02
3.8500000e+02	2.7209789e+06	2.5714286e+02	2.9946857e+02
3.8600000e+02	2.7265242e+06	2.5647668e+02	2.9869274e+02
3.8700000e+02	2.7320438e+06	2.5581395e+02	2.9792093e+02
3.8800000e+02	2.7375377e+06	2.5515464e+02	2.9715309e+02
3.8900000e+02	2.7430062e+06	2.5449871e+02	2.9638920e+02
3.9000000e+02	2.7484495e+06	2.5384615e+02	2.9562923e+02
3.9100000e+02	2.7538676e+06	2.5319693e+02	2.9487314e+02
3.9200000e+02	2.7592608e+06	2.5255102e+02	2.9412092e+02
3.9300000e+02	2.7646293e+06	2.5190840e+02	2.9337252e+02
3.9400000e+02	2.7699732e+06	2.5126904e+02	2.9262792e+02
3.9500000e+02	2.7752927e+06	2.5063291e+02	2.9188709e+02
3.9600000e+02	2.7805880e+06	2.5000000e+02	2.9115000e+02
3.9700000e+02	2.7858591e+06	2.4937028e+02	2.9041663e+02
3.9800000e+02	2.7911063e+06	2.4874372e+02	2.8968694e+02
3.9900000e+02	2.7963298e+06	2.4812030e+02	2.8896090e+02
4.0000000e+02	2.8015297e+06	2.4750000e+02	2.8823850e+02
4.0100000e+02	2.8067061e+06	2.4688279e+02	2.8751970e+02
4.0200000e+02	2.8118592e+06	2.4626866e+02	2.8680448e+02
4.0300000e+02	2.8169892e+06	2.4565757e+02	2.8609281e+02
4.0400000e+02	2.8220962e+06	2.4504950e+02	2.8538465e+02
4.0500000e+02	2.8271804e+06	2.4444444e+02	2.8467999e+02
4.0600000e+02	2.8322419e+06	2.4384236e+02	2.8397881e+02
4.0700000e+02	2.8372809e+06	2.4324324e+02	2.8328108e+02
4.0800000e+02	2.8422975e+06	2.4264706e+02	2.8258677e+02
4.0900000e+02	2.8472919e+06	2.4205379e+02	2.8189584e+02
4.1000000e+02	2.8522641e+06	2.4146341e+02	2.8120829e+02
4.1100000e+02	2.8572145e+06	2.4087591e+02	2.8052408e+02
4.1200000e+02	2.8621430e+06	2.4029126e+02	2.7984320e+02
4.1300000e+02	2.8670499e+06	2.3970944e+02	2.7916561e+02
4.1400000e+02	2.8719353e+06	2.3913043e+02	2.7849130e+02
4.1500000e+02	2.8767993e+06	2.3855422e+02	2.7782024e+02
4.1600000e+02	2.8816420e+06	2.3798077e+02	2.7715240e+02
4.1700000e+02	2.8864637e+06	2.3741007e+02	2.7648777e+02
4.1800000e+02	2.8912644e+06	2.3684211e+02	2.7582632e+02
4.1900000e+02	2.8960443e+06	2.3627685e+02	2.7516802e+02
4.2000000e+02	2.9008034e+06	2.3571429e+02	2.7451286e+02
4.2100000e+02	2.9055421e+06	2.3515439e+02	2.7386080e+02
4.2200000e+02	2.9102602e+06	2.3459716e+02	2.7321185e+02
4.2300000e+02	2.9149581e+06	2.3404255e+02	2.7256595e+02
4.2400000e+02	2.9196358e+06	2.3349057e+02	2.7192312e+02
4.2500000e+02	2.9242935e+06	2.3294118e+02	2.7128330e+02
4.2600000e+02	2.9289313e+06	2.3239437e+02	2.7064648e+02
4.2700000e+02	2.9335492e+06	2.3185012e+02	2.7001265e+02
4.2800000e+02	2.9381476e+06	2.3130841e+02	2.6938177e+02
4.2900000e+02	2.9427263e+06	2.3076923e+02	2.6875385e+02
4.3000000e+02	2.9472857e+06	2.3023256e+02	2.6812884e+02
4.3100000e+02	2.9518257e+06	2.2969838e+02	2.6750673e+02
4.3200000e+02	2.9563466e+06	2.2916667e+02	2.6688750e+02
4.3300000e+02	2.9608485e+06	2.2863741e+02	2.6627113e+02
4.3400000e+02	2.9653314e+06	2.2811060e+02	2.6565760e+02
4.3500000e+02	2.9697955e+06	2.2758621e+02	2.6504690e+02
4.3600000e+02	2.9742409e+06	2.2706422e+02	2.6443899e+02
4.3700000e+02	2.9786677e+06	2.2654462e+02	2.6383386e+02
4.3800000e+02	2.9830760e+06	2.2602740e+02	2.6323151e+02
4.3900000e+02	2.9874660e+06	2.2551253e+02	2.6263189e+02
4.4000000e+02	2.9918378e+06	2.2500000e+02	2.6203500e+02
4.4100000e+02	2.9961914e+06	2.2448980e+02	2.6144082e+02
4.4200000e+02	3.0005270e+06	2.2398190e+02	2.6084932e+02
4.4300000e+02	3.0048447e+06	2.2347630e+02	2.6026050e+02
4.4400000e+02	3.0091446e+06	2.2297297e+02	2.5967432e+02
4.4500000e+02	3.0134268e+06	2.2247191e+02	2.5909079e+02
4.4600000e+02	3.0176915e+06	2.2197309e+02	2.5850986e+02
4.4700000e+02	3.0219387e+06	2.2147651e+02	2.5793154e+02
4.4800000e+02	3.0261685e+06	2.2098214e+02	2.5735580e+02
4.4900000e+02	3.0303810e+06	2.2048998e+02	2.5678263e+02
4.5000000e+02	3.0345764e+06	2.2000000e+02	2.5621200e+02
4.5100000e+02	3.0387548e+06	2.1951220e+02	2.5564391e+02
4.5200000e+02	3.0429162e+06	2.1902655e+02	2.5507832e+02
4.5300000e+02	3.0470607e+06	2.1854305e+02	2.5451524e+02
4.5400000e+02	3.0511886e+06	2.1806167e+02	2.5395462e+02
4.5500000e+02	3.0552997e+06	2.1758242e+02	2.5339649e+02
4.5600000e+02	3.0593943e+06	2.1710526e+02	2.5284079e+02
4.5700000e+02	3.0634725e+06	2.1663020e+02	2.5228753e+02
4.5800000e+02	3.0675344e+06	2.1615721e+02	2.5173669e+02
4.5900000e+02	3.0715799e+06	2.1568627e+02	2.5118823e+02
4.6000000e+02	3.0756094e+06	2.1521739e+02	2.5064217e+02
4.6100000e+02	3.0796227e+06	2.1475054e+02	2.5009848e+02
4.6200000e+02	3.0836201e+06	2.1428571e+02	2.4955714e+02
4.6300000e+02	3.0876017e+06	2.1382289e+02	2.4901814e+02
4.6400000e+02	3.0915674e+06	2.1336207e+02	2.4848147e+02
4.6500000e+02	3.0955175e+06	2.1290323e+02	2.4794710e+02
4.6600000e+02	3.0994520e+06	2.1244635e+02	2.4741502e+02
4.6700000e+02	3.1033710e+06	2.1199143e+02	2.4688522e+02
4.6800000e+02	3.1072746e+06	2.1153846e+02	2.4635769e+02
4.6900000e+02	3.1111628e+06	2.1108742e+02	2.4583241e+02
4.7000000e+02	3.1150359e+06	2.1063830e+02	2.4530936e+02
4.7100000e+02	3.1188937e+06	2.1019108e+02	2.4478853e+02
4.7200000e+02	3.1227366e+06	2.0974576e+02	2.4426991e+02
4.7300000e+02	3.1265645e+06	2.0930233e+02	2.4375349e+02
4.7400000e+02	3.1303775e+06	2.0886076e+02	2.4323924e+02
4.7500000e+02	3.1341757e+06	2.0842105e+02	2.4272715e+02
4.7600000e+02	3.1379592e+06	2.0798319e+02	2.4221722e+02
