---
source: "Amorphous SiO2. Data source: thermophysical properties of matter vol.5 curve 6 plus curve5, cahill 3w paper"
author: "Jia"
---

T (K)	rho_cp (J/m^3K)	S (W/mK)
5.2700000e+02	2.2157823e+06	1.5856344e+00
5.2800000e+02	2.2171640e+06	1.5865293e+00
5.2900000e+02	2.2185382e+06	1.5874223e+00
5.3000000e+02	2.2199051e+06	1.5883132e+00
5.3100000e+02	2.2212648e+06	1.5892020e+00
5.3200000e+02	2.2226171e+06	1.5900889e+00
5.3300000e+02	2.2239622e+06	1.5909737e+00
5.3400000e+02	2.2253001e+06	1.5918565e+00
5.3500000e+02	2.2266308e+06	1.5927373e+00
5.3600000e+02	2.2279544e+06	1.5936161e+00
5.3700000e+02	2.2292709e+06	1.5944930e+00
5.3800000e+02	2.2305803e+06	1.5953678e+00
5.3900000e+02	2.2318827e+06	1.5962407e+00
5.4000000e+02	2.2331781e+06	1.5971116e+00
5.4100000e+02	2.2344666e+06	1.5979805e+00
5.4200000e+02	2.2357481e+06	1.5988475e+00
5.4300000e+02	2.2370228e+06	1.5997126e+00
5.4400000e+02	2.2382906e+06	1.6005757e+00
5.4500000e+02	2.2395516e+06	1.6014368e+00
5.4600000e+02	2.2408059e+06	1.6022960e+00
5.4700000e+02	2.2420534e+06	1.6031534e+00
5.4800000e+02	2.2432942e+06	1.6040088e+00
5.4900000e+02	2.2445284e+06	1.6048622e+00
5.5000000e+02	2.2457559e+06	1.6057138e+00
5.5100000e+02	2.2469768e+06	1.6065635e+00
5.5200000e+02	2.2481912e+06	1.6074113e+00
5.5300000e+02	2.2493991e+06	1.6082573e+00
5.5400000e+02	2.2506005e+06	1.6091013e+00
5.5500000e+02	2.2517955e+06	1.6099435e+00
5.5600000e+02	2.2529840e+06	1.6107839e+00
5.5700000e+02	2.2541662e+06	1.6116223e+00
5.5800000e+02	2.2553421e+06	1.6124590e+00
5.5900000e+02	2.2565116e+06	1.6132938e+00
5.6000000e+02	2.2576749e+06	1.6141268e+00
5.6100000e+02	2.2588320e+06	1.6149579e+00
5.6200000e+02	2.2599829e+06	1.6157873e+00
5.6300000e+02	2.2611277e+06	1.6166148e+00
