---
source: "Converted from Material_new/ xlsx data"
date: "AI_FDTRFit"
notes: ""
---

T (K)	rho_cp (J/m^3K)	S (W/mK)
5.9815000e+02	2.2858000e+06	1.6600646e+00
5.9915000e+02	2.2858000e+06	1.6605487e+00
6.0015000e+02	2.2880000e+06	1.6610337e+00
6.0115000e+02	2.2880000e+06	1.6615200e+00
6.0215000e+02	2.2902000e+06	1.6620079e+00
6.0315000e+02	2.2924000e+06	1.6624976e+00
6.0415000e+02	2.2924000e+06	1.6629894e+00
6.0515000e+02	2.2924000e+06	1.6634838e+00
6.0615000e+02	2.2946000e+06	1.6639809e+00
6.0715000e+02	2.2946000e+06	1.6644810e+00
6.0815000e+02	2.2968000e+06	1.6649846e+00
6.0915000e+02	2.2968000e+06	1.6654918e+00
6.1015000e+02	2.2990000e+06	1.6660030e+00
6.1115000e+02	2.2990000e+06	1.6665185e+00
6.1215000e+02	2.2990000e+06	1.6670385e+00
6.1315000e+02	2.3012000e+06	1.6675635e+00
6.1415000e+02	2.3012000e+06	1.6680936e+00
6.1515000e+02	2.3034000e+06	1.6686292e+00
6.1615000e+02	2.3056000e+06	1.6691706e+00
6.1715000e+02	2.3056000e+06	1.6697181e+00
6.1815000e+02	2.3078000e+06	1.6702720e+00
6.1915000e+02	2.3078000e+06	1.6708326e+00
6.2015000e+02	2.3100000e+06	1.6714002e+00
6.2115000e+02	2.3122000e+06	1.6719751e+00
6.2215000e+02	2.3122000e+06	1.6725576e+00
6.2315000e+02	2.3144000e+06	1.6731480e+00
6.2415000e+02	2.3144000e+06	1.6737466e+00
6.2515000e+02	2.3166000e+06	1.6743537e+00
6.2615000e+02	2.3166000e+06	1.6749696e+00
6.2715000e+02	2.3166000e+06	1.6755947e+00
6.2815000e+02	2.3188000e+06	1.6762292e+00
6.2915000e+02	2.3188000e+06	1.6768733e+00
6.3015000e+02	2.3188000e+06	1.6775276e+00
