---
source: "Nickel Data source: thermophysical properties of matter vol.4 curve 10 plus curve1"
author: "Jia"
---

T (K)	rho_cp (J/m³K)	S (W/mK)
3.8700000e+02	4.2053141e+06	8.1700176e+01
3.8800000e+02	4.2102615e+06	8.1611923e+01
3.8900000e+02	4.2152090e+06	8.1523842e+01
3.9000000e+02	4.2195094e+06	8.1435931e+01
3.9100000e+02	4.2228394e+06	8.1348189e+01
3.9200000e+02	4.2261694e+06	8.1260615e+01
3.9300000e+02	4.2294994e+06	8.1173206e+01
3.9400000e+02	4.2328294e+06	8.1085961e+01
3.9500000e+02	4.2361594e+06	8.0998878e+01
3.9600000e+02	4.2394894e+06	8.0911957e+01
3.9700000e+02	4.2428194e+06	8.0825195e+01
3.9800000e+02	4.2461494e+06	8.0738592e+01
3.9900000e+02	4.2494794e+06	8.0652146e+01
4.0000000e+02	4.2528094e+06	8.0565855e+01
4.0100000e+02	4.2561394e+06	8.0479718e+01
4.0200000e+02	4.2594694e+06	8.0393733e+01
4.0300000e+02	4.2627994e+06	8.0307898e+01
4.0400000e+02	4.2661294e+06	8.0222213e+01
4.0500000e+02	4.2694594e+06	8.0136675e+01
4.0600000e+02	4.2727894e+06	8.0051284e+01
4.0700000e+02	4.2765276e+06	7.9966039e+01
4.0800000e+02	4.2805379e+06	7.9880940e+01
4.0900000e+02	4.2845483e+06	7.9795985e+01
4.1000000e+02	4.2885586e+06	7.9711173e+01
4.1100000e+02	4.2925689e+06	7.9626503e+01
4.1200000e+02	4.2965792e+06	7.9541972e+01
4.1300000e+02	4.3005895e+06	7.9457580e+01
4.1400000e+02	4.3045999e+06	7.9373326e+01
4.1500000e+02	4.3086102e+06	7.9289207e+01
4.1600000e+02	4.3126205e+06	7.9205223e+01
4.1700000e+02	4.3166308e+06	7.9121372e+01
4.1800000e+02	4.3206412e+06	7.9037656e+01
4.1900000e+02	4.3246515e+06	7.8954071e+01
4.2000000e+02	4.3286618e+06	7.8870617e+01
4.2100000e+02	4.3326721e+06	7.8787294e+01
4.2200000e+02	4.3366824e+06	7.8704101e+01
4.2300000e+02	4.3406928e+06	7.8621037e+01
4.2400000e+02	4.3447031e+06	7.8538102e+01
4.2500000e+02	4.3487134e+06	7.8455293e+01
4.2600000e+02	4.3537534e+06	7.8372611e+01
4.2700000e+02	4.3587934e+06	7.8290053e+01
4.2800000e+02	4.3638334e+06	7.8207620e+01
4.2900000e+02	4.3688734e+06	7.8125309e+01
