---
source: "Chromium Data source: thermophysical properties of matter vol.4 curve 4 plus curve6"
author: "Jia"
---

T (K)	rho_cp (J/m³K)	S (W/mK)
4.9900000e+02	3.6895032e+06	8.4378907e+01
5.0000000e+02	3.6906288e+06	8.4333105e+01
5.0100000e+02	3.6917515e+06	8.4287353e+01
5.0200000e+02	3.6928716e+06	8.4241650e+01
5.0300000e+02	3.6939890e+06	8.4195996e+01
5.0400000e+02	3.6951039e+06	8.4150391e+01
5.0500000e+02	3.6962164e+06	8.4104835e+01
5.0600000e+02	3.6973266e+06	8.4059326e+01
5.0700000e+02	3.6984346e+06	8.4013864e+01
5.0800000e+02	3.6995405e+06	8.3968450e+01
5.0900000e+02	3.7006444e+06	8.3923082e+01
5.1000000e+02	3.7017463e+06	8.3877760e+01
5.1100000e+02	3.7028465e+06	8.3832484e+01
5.1200000e+02	3.7039449e+06	8.3787254e+01
5.1300000e+02	3.7050417e+06	8.3742069e+01
5.1400000e+02	3.7061369e+06	8.3696929e+01
5.1500000e+02	3.7072307e+06	8.3651834e+01
5.1600000e+02	3.7083231e+06	8.3606782e+01
5.1700000e+02	3.7094142e+06	8.3561774e+01
5.1800000e+02	3.7105041e+06	8.3516809e+01
5.1900000e+02	3.7115928e+06	8.3471886e+01
5.2000000e+02	3.7126805e+06	8.3427005e+01
5.2100000e+02	3.7137672e+06	8.3382166e+01
5.2200000e+02	3.7148530e+06	8.3337369e+01
5.2300000e+02	3.7159379e+06	8.3292615e+01
5.2400000e+02	3.7170220e+06	8.3247902e+01
5.2500000e+02	3.7181054e+06	8.3203231e+01
5.2600000e+02	3.7191882e+06	8.3158603e+01
5.2700000e+02	3.7202703e+06	8.3114015e+01
5.2800000e+02	3.7213520e+06	8.3069467e+01
5.2900000e+02	3.7224331e+06	8.3024959e+01
5.3000000e+02	3.7235138e+06	8.2980490e+01
5.3100000e+02	3.7245941e+06	8.2936059e+01
5.3200000e+02	3.7256741e+06	8.2891667e+01
5.3300000e+02	3.7267538e+06	8.2847314e+01
5.3400000e+02	3.7278333e+06	8.2802999e+01
5.3500000e+02	3.7289125e+06	8.2758723e+01
5.3600000e+02	3.7299916e+06	8.2714485e+01
5.3700000e+02	3.7310706e+06	8.2670286e+01
5.3800000e+02	3.7321494e+06	8.2626124e+01
5.3900000e+02	3.7332283e+06	8.2582000e+01
5.4000000e+02	3.7343070e+06	8.2537914e+01
5.4100000e+02	3.7353858e+06	8.2493864e+01
5.4200000e+02	3.7364646e+06	8.2449851e+01
5.4300000e+02	3.7375434e+06	8.2405875e+01
5.4400000e+02	3.7386223e+06	8.2361935e+01
5.4500000e+02	3.7397013e+06	8.2318032e+01
5.4600000e+02	3.7407803e+06	8.2274164e+01
5.4700000e+02	3.7418595e+06	8.2230332e+01
5.4800000e+02	3.7429388e+06	8.2186536e+01
5.4900000e+02	3.7440182e+06	8.2142775e+01
5.5000000e+02	3.7450977e+06	8.2099048e+01
5.5100000e+02	3.7461773e+06	8.2055356e+01
5.5200000e+02	3.7472571e+06	8.2011698e+01
5.5300000e+02	3.7483370e+06	8.1968075e+01
5.5400000e+02	3.7494170e+06	8.1924484e+01
5.5500000e+02	3.7504971e+06	8.1880928e+01
5.5600000e+02	3.7515773e+06	8.1837404e+01
5.5700000e+02	3.7526576e+06	8.1793914e+01
5.5800000e+02	3.7537380e+06	8.1750457e+01
5.5900000e+02	3.7548184e+06	8.1707034e+01
5.6000000e+02	3.7558989e+06	8.1663645e+01
5.6100000e+02	3.7569794e+06	8.1620289e+01
5.6200000e+02	3.7580599e+06	8.1576967e+01
5.6300000e+02	3.7591403e+06	8.1533677e+01
5.6400000e+02	3.7602207e+06	8.1490419e+01
5.6500000e+02	3.7613010e+06	8.1447193e+01
5.6600000e+02	3.7623812e+06	8.1403998e+01
